,Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist
0,1,2024-10-05,Saudi Professional League,Matchweek 6,Home,Al-Nassr,Al-Orobah,Y*,sin dato,17,0-0,Gaëtan Coucke,sin dato
1,2,2024-09-27,Saudi Professional League,Matchweek 5,Home,Al-Nassr,Al-Wehda,Y*,sin dato,56,1-0,Abdullah Al-Owaishir,sin dato
2,3,2024-09-20,Saudi Professional League,Matchweek 4,Away,Al-Nassr,Al-Ettifaq,Y*,sin dato,33,0-0,Marek Rodák,sin dato
3,4,2024-09-08,UEFA Nations League,League A,Home,Portugal,Scotland,N,sin dato,88,1-1,Angus Gunn,Nuno Mendes
4,5,2024-09-05,UEFA Nations League,League A,Home,Portugal,Croatia,Y*,sin dato,34,1-0,Dominik Livaković,Nuno Mendes
5,6,2024-08-27,Saudi Professional League,Matchweek 2,Away,Al-Nassr,Al-Fayha,Y*,sin dato,45+10,1-0,Abdulraouf Al Duqayl,sin dato
6,7,2024-08-22,Saudi Professional League,Matchweek 1,Home,Al-Nassr,Al-Raed,Y*,sin dato,34,0-0,Meshari Sunyur,Sadio Mané
7,8,2024-06-11,Friendlies (M),Friendlies (M),Home,Portugal,Rep. of Ireland,Y*,sin dato,60,2-0,Caoimhín Kelleher,Diogo Jota
8,9,2024-06-11,Friendlies (M),Friendlies (M),Home,Portugal,Rep. of Ireland,Y*,sin dato,50,1-0,Caoimhín Kelleher,Rúben Neves
9,10,2024-05-27,Pro League,Matchweek 34,Home,Al-Nassr,Al-Ittihad,Y*,sin dato,69,sin dato,sin dato,Marcelo Brozović
10,11,2024-05-27,Pro League,Matchweek 34,Home,Al-Nassr,Al-Ittihad,Y*,sin dato,45+3,sin dato,sin dato,Mohammed Al Fatil
11,12,2024-05-09,Pro League,Matchweek 31,Away,Al-Nassr,Al Okhdood SC,Y*,sin dato,15,sin dato,sin dato,Ali Al Hassan
12,13,2024-05-04,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,sin dato,52,sin dato,sin dato,Sadio Mané
13,14,2024-05-04,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,sin dato,12,sin dato,sin dato,Marcelo Brozović
14,15,2024-05-04,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,sin dato,5,sin dato,sin dato,sin dato
15,16,2024-04-02,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,sin dato,42,sin dato,sin dato,sin dato
16,17,2024-04-02,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,sin dato,21,sin dato,sin dato,sin dato
