Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
1,09/05/2024,Pro League,Matchweek 31,Away,Al-Nassr,Al Okhdood SC,Y*,Right Foot,15,3-2,Paulo Vítor Fagundes dos Anjos,Ali Al Hassan,7,39,1
2,04/05/2024,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,Head,12,6-0,Munir,Marcelo Brozović,7,39,1
3,04/05/2024,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,Left Foot,52,6-0,Munir,Sadio Mané,7,39,1
4,04/05/2024,Pro League,Matchweek 30,Home,Al-Nassr,Al-Wehda,Y*,Head,5,6-0,Munir,No assist,7,39,1
5,01/05/2024,Kings CUP,Semi-finals,Home,Al-Nassr,Al-Khaleej,Y*,Left Foot,57,3-1,Sehic,Ayman Yahya,7,39,1
5,01/05/2024,Kings CUP,Semi-finals,Home,Al-Nassr,Al-Khaleej,Y*,Left Foot,17,3-1,Sehic,Ayman Yahya,7,39,1
6,02/04/2024,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,Right Foot,11,8-0,Ciprian Tatarusanu,Free kick,7,39,1
7,02/04/2024,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,Right Foot,42,8-0,Ciprian Tatarusanu,No assist,7,39,1
8,02/04/2024,Pro League,Matchweek 26,Away,Al-Nassr,Abha,Y*,Right Foot,21,8-0,Ciprian Tatarusanu,Free kick,7,39,1
9,30/03/2024,Pro League,Matchweek 25,Home,Al-Nassr,Al-Ta'ee,Y*,Head,87,5-1,Muataz Al Bagawi,Abdulmajeed Al-Sulayhem,7,39,1
10,30/03/2024,Pro League,Matchweek 25,Home,Al-Nassr,Al-Ta'ee,Y*,Right Foot,67,5-1,Muataz Al Bagawi,No assist,7,39,1
11,30/03/2024,Pro League,Matchweek 25,Home,Al-Nassr,Al-Ta'ee,Y*,Right Foot,64,5-1,Muataz Al Bagawi,Sadio Mané,7,39,1
